id,latitude,longitude,district_group,district,price
27853704,37.394402,-5.996935,Casco Antiguo,"Encarnación, Regina",100.0
27862272,37.39877,-5.99343,Casco Antiguo,Feria,92.0
27863392,37.39877,-5.99343,Casco Antiguo,Feria,110.0
28006713,37.39726,-5.9946,Casco Antiguo,San Lorenzo,100.0
28038682,37.39687,-6.00065,Casco Antiguo,San Vicente,111.0
28094808,37.38544464111328,-5.996013164520264,Casco Antiguo,Arenal,63.0
28114149,37.39979,-5.99545,Casco Antiguo,San Lorenzo,87.0
28117744,37.39494,-6.00116,Casco Antiguo,San Vicente,141.0
28124817,37.37957,-5.99994,Triana,Triana Este,61.0
28126463,37.41642,-5.98518,Macarena - Norte,La Bachillera,158.0
28127779,37.38899,-5.98492,Casco Antiguo,San Bartolomé,137.0
28128821,37.38684,-5.98965,Casco Antiguo,Santa Cruz,304.0
28130783,37.38668,-5.98704,Casco Antiguo,San Bartolomé,141.0
28143558,37.38791,-6.0055,Triana,Triana Casco Antiguo,93.0
28175741,37.38591,-5.98981,Casco Antiguo,Santa Cruz,196.0
28190597,37.38602,-5.98959,Casco Antiguo,Santa Cruz,177.0
28190929,37.38612,-5.98926,Casco Antiguo,Santa Cruz,122.0
28237890,37.38807,-5.98484,Nervión,La Florida,121.0
28264841,37.388098,-5.997937,Casco Antiguo,Arenal,115.0
28268371,37.38874,-5.99064,Casco Antiguo,Alfalfa,180.0
28307513,37.38849,-5.98959,Casco Antiguo,San Bartolomé,243.0
28335207,37.39339,-6.002,Casco Antiguo,San Vicente,109.0
28407060,37.38611,-5.99094,Casco Antiguo,Santa Cruz,275.0
28409934,37.38810704899529,-5.997759796295159,Casco Antiguo,Arenal,132.0
28410513,37.38809,-5.997861720237725,Casco Antiguo,Arenal,106.0
28425096,37.39182,-5.99108,Casco Antiguo,Alfalfa,89.0
28460407,37.39119,-5.99813,Casco Antiguo,Alfalfa,114.0
28465343,37.39855,-5.99241,Casco Antiguo,Feria,94.0
28470179,37.40264,-5.97316,Macarena,"Cisneo Alto, Santa María de Graccia",51.0
28518676,37.387978,-5.99911,Casco Antiguo,Arenal,131.0
28519466,37.39471,-5.99344,Casco Antiguo,"Encarnación, Regina",65.0
28530918,37.38997,-5.99629,Casco Antiguo,Alfalfa,144.0
28532475,37.38942,-5.99213,Casco Antiguo,Alfalfa,165.0
28552810,37.38056,-6.0004,Triana,Triana Este,56.0
28559763,37.39829,-5.99458,Casco Antiguo,San Lorenzo,144.0
28560395,37.385895,-5.994949,Casco Antiguo,Arenal,489.0
28569658,37.39792,-5.99672,Casco Antiguo,San Lorenzo,197.0
28578079,37.38916,-5.99201,Casco Antiguo,Alfalfa,108.0
28681934,37.3933,-5.99117,Casco Antiguo,"Encarnación, Regina",223.0
28747731,37.38498,-5.9927,Casco Antiguo,Santa Cruz,291.0
28769978,37.38055,-6.00078,Triana,Triana Este,64.0
28779313,37.39129,-5.98569,Casco Antiguo,Santa Catalina,95.0
28853133,37.39951,-5.98166,Macarena,"Cruz Roja, Capuchinos",40.0
28857590,37.3854,-6.00337,Triana,Triana Casco Antiguo,391.0
28959437,37.39652,-5.98411,Casco Antiguo,San Julián,140.0
28960298,37.38783,-5.99012,Casco Antiguo,Santa Cruz,85.0
28980569,37.38935,-5.98931,Casco Antiguo,San Bartolomé,194.0
28981458,37.37345,-6.00188,Los Remedios,Los Remedios,100.0
28994974,37.38695404435138,-5.991772563001567,Casco Antiguo,Santa Cruz,209.0
28995665,37.37252,-5.97928,Sur,Huerta de la Salud,88.0
28996318,37.39529,-5.98982,Casco Antiguo,Feria,441.0
29009594,37.39627,-5.99002,Casco Antiguo,Feria,47.0
29045030,37.38682,-5.99789,Casco Antiguo,Arenal,135.0
29066245,37.37217,-5.96668,Sur,"El Juncal, Híspalis",706.0
29074886,37.3857,-5.9974,Casco Antiguo,Arenal,135.0
29089417,37.38683,-5.99945,Casco Antiguo,Arenal,134.0
29100646,37.37215,-5.97877,Sur,Huerta de la Salud,68.0
29128029,37.38723,-5.98195,Nervión,La Florida,35.0
29153655,37.3912,-5.98929,Casco Antiguo,Alfalfa,100.0
29167351,37.37709,-5.99627,Los Remedios,Los Remedios,78.0
29169175,37.38627,-5.98887,Casco Antiguo,Santa Cruz,112.0
29182274,37.3949,-5.96785,San Pablo - Santa Justa,San Pablo A y B,29.0
29205271,37.38378,-5.99369,Casco Antiguo,Santa Cruz,267.0
29205281,37.38378,-5.99369,Casco Antiguo,Santa Cruz,251.0
29205900,37.38536,-5.99548,Casco Antiguo,Arenal,296.0
29208291,37.39953,-5.98672,Casco Antiguo,San Julián,86.0
29210673,37.39188,-5.99147,Casco Antiguo,Alfalfa,59.0
29230064,37.401642,-5.992259,Casco Antiguo,San Gil,69.0
29275678,37.398582458496094,-5.999390125274658,Casco Antiguo,San Lorenzo,65.0
29279320,37.39101,-5.99504,Casco Antiguo,Alfalfa,81.0
29295430,37.39403,-5.99403,Casco Antiguo,"Encarnación, Regina",65.0
29297632,37.40067,-5.99722,Casco Antiguo,San Lorenzo,141.0
29302659,37.39126,-5.98499,Casco Antiguo,Santa Catalina,161.0
29303828,37.36323,-5.98509,Palmera - Bellavista,"Sector Sur, La Palmera, Reina Mercedes",156.0
29309806,37.39958,-5.9427,Este - Alcosa - Torreblanca,"Palacio Congresos, Urbadiez, Entrepuentes, Jardines del Eden",45.0
29311550,37.38607,-5.99497,Casco Antiguo,Arenal,350.0
29324802,37.38502,-5.98099,Nervión,Huerta del Pilar,90.0
29332317,37.38276,-5.994,Casco Antiguo,Santa Cruz,342.0
29351274,37.38912,-5.99399,Casco Antiguo,Santa Cruz,258.0
29366426,37.376,-6.00258,Los Remedios,Los Remedios,58.0
29406548,37.40802,-5.98015,Macarena,"Hermandades, La Carrasca",40.0
29406718,37.39025,-5.99159,Casco Antiguo,Alfalfa,168.0
29410148,37.38507,-5.98854,Casco Antiguo,Santa Cruz,182.0
29434760,37.39117,-5.99055,Casco Antiguo,Alfalfa,464.0
29460343,37.37358,-5.9298,Cerro - Amate,Palmete,88.0
29526350,37.39455,-5.9678,San Pablo - Santa Justa,San Pablo A y B,29.0
29537056,37.38778,-5.99004,Casco Antiguo,Santa Cruz,109.0
29578749,37.36346,-5.98509,Palmera - Bellavista,"Sector Sur, La Palmera, Reina Mercedes",130.0
29580956,37.40104,-5.99337,Casco Antiguo,San Gil,71.0
29583158,37.39394,-6.00158,Casco Antiguo,San Vicente,130.0
29587846,37.38765,-5.99915,Casco Antiguo,Arenal,88.0
29588103,37.38648,-5.99621,Casco Antiguo,Arenal,176.0
29589270,37.38936,-6.00033,Casco Antiguo,Museo,72.0
29590279,37.38737,-5.99875,Casco Antiguo,Arenal,79.0
29630448,37.39414674014535,-6.000733620971629,Casco Antiguo,San Vicente,56.0
29631534,37.37089,-5.98414,Sur,El Porvenir,232.0
29634048,37.39342,-5.99387,Casco Antiguo,"Encarnación, Regina",592.0
29669368,37.39097,-5.99908,Casco Antiguo,Museo,431.0
29696780,37.38447,-5.99703,Casco Antiguo,Arenal,113.0
29697994,37.38979,-6.00233,Casco Antiguo,Museo,239.0
29744932,37.39642,-5.98341,Casco Antiguo,San Julián,122.0
29779326,37.39889,-5.98939,Casco Antiguo,Feria,83.0
29841724,37.3853,-5.99597,Casco Antiguo,Arenal,36.0
29842113,37.38980865478516,-5.984704971313477,Casco Antiguo,San Bartolomé,139.0
29919103,37.38643,-5.99552,Casco Antiguo,Arenal,227.0
